date,asset,Date,Open,High,Low,Close,Volume
2016-12-30,INDEXNYSEGIS:MID,Dec 30 2016,1669.27,1669.94,1657.28,1660.58,-
2016-12-29,INDEXNYSEGIS:MID,Dec 29 2016,1663.28,1669.66,1661.10,1667.18,-
2016-12-28,INDEXNYSEGIS:MID,Dec 28 2016,1682.42,1682.68,1660.61,1662.51,-
2016-12-27,INDEXNYSEGIS:MID,Dec 27 2016,1675.45,1683.18,1674.34,1680.23,-
2016-12-23,INDEXNYSEGIS:MID,Dec 23 2016,1669.45,1674.00,1669.09,1673.55,-
2016-12-22,INDEXNYSEGIS:MID,Dec 22 2016,1679.56,1679.56,1665.35,1669.52,-
2016-12-21,INDEXNYSEGIS:MID,Dec 21 2016,1686.38,1687.86,1679.62,1679.62,-
2016-12-20,INDEXNYSEGIS:MID,Dec 20 2016,1681.14,1688.20,1680.42,1687.03,-
2016-12-19,INDEXNYSEGIS:MID,Dec 19 2016,1669.20,1678.66,1669.20,1677.92,-
2016-12-16,INDEXNYSEGIS:MID,Dec 16 2016,1673.57,1683.49,1665.12,1667.73,-
2016-12-15,INDEXNYSEGIS:MID,Dec 15 2016,1664.82,1681.06,1661.06,1670.74,-
2016-12-14,INDEXNYSEGIS:MID,Dec 14 2016,1682.36,1688.36,1662.51,1664.33,-
2016-12-13,INDEXNYSEGIS:MID,Dec 13 2016,1688.13,1690.80,1676.97,1686.05,-
2016-12-12,INDEXNYSEGIS:MID,Dec 12 2016,1691.46,1696.15,1678.35,1682.51,-
2016-12-09,INDEXNYSEGIS:MID,Dec 9 2016,1697.53,1698.22,1689.67,1692.98,-
2016-12-08,INDEXNYSEGIS:MID,Dec 8 2016,1679.59,1698.70,1678.63,1696.12,-
2016-12-07,INDEXNYSEGIS:MID,Dec 7 2016,1657.88,1679.62,1657.31,1677.79,-
2016-12-06,INDEXNYSEGIS:MID,Dec 6 2016,1645.11,1658.53,1641.42,1658.28,-
2016-12-05,INDEXNYSEGIS:MID,Dec 5 2016,1633.66,1643.69,1633.66,1642.79,-
