date,portfolio_return_y,index_return_y,excess_return,forward_period,factor_type,factor_top_count,minimum_sample_size,factor_threshold,minimum_asset_pct,asset_pct
2016-11-22,-0.0438428563916,-0.055789500453,0.0119466440613,5,mean,5,10,0.01,0.5,0.5
2016-11-22,-0.0438428563916,-0.055789500453,0.0119466440613,5,mean,5,30,0.01,0.5,0.5
2016-11-22,-0.0438428563916,-0.055789500453,0.0119466440613,5,mean,5,100,0.01,0.5,0.5
2016-11-22,-0.0438428563916,-0.055789500453,0.0119466440613,5,mean,5,200,0.01,0.5,0.5
2016-11-22,-0.0430409480239,-0.055789500453,0.0127485524291,5,mean,10,10,0.01,0.5,0.5
2016-11-22,-0.0430409480239,-0.055789500453,0.0127485524291,5,mean,10,30,0.01,0.5,0.5
2016-11-22,-0.0430409480239,-0.055789500453,0.0127485524291,5,mean,10,100,0.01,0.5,0.5
2016-11-22,-0.0430409480239,-0.055789500453,0.0127485524291,5,mean,10,200,0.01,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,10,0.01,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,10,0.03,0.5,0.5
2016-11-22,-0.289295308796,-0.142601777825,-0.146693530971,5,zscore,5,10,0.8,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,30,0.01,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,30,0.03,0.5,0.5
2016-11-22,-0.289295308796,-0.142601777825,-0.146693530971,5,zscore,5,30,0.8,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,100,0.01,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,100,0.03,0.5,0.5
2016-11-22,-0.289295308796,-0.142601777825,-0.146693530971,5,zscore,5,100,0.8,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,200,0.01,0.5,0.5
2016-11-22,-0.0350057643556,-0.0464265173863,0.0114207530306,5,zscore,5,200,0.03,0.5,0.5
2016-11-22,-0.289295308796,-0.142601777825,-0.146693530971,5,zscore,5,200,0.8,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,10,0.01,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,10,0.03,0.5,0.5
2016-11-22,-0.266038047281,-0.142601777825,-0.123436269456,5,zscore,10,10,0.8,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,30,0.01,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,30,0.03,0.5,0.5
2016-11-22,-0.266038047281,-0.142601777825,-0.123436269456,5,zscore,10,30,0.8,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,100,0.01,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,100,0.03,0.5,0.5
2016-11-22,-0.266038047281,-0.142601777825,-0.123436269456,5,zscore,10,100,0.8,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,200,0.01,0.5,0.5
2016-11-22,-0.0299000292405,-0.0464265173863,0.0165264881458,5,zscore,10,200,0.03,0.5,0.5
2016-11-22,-0.266038047281,-0.142601777825,-0.123436269456,5,zscore,10,200,0.8,0.5,0.5
2016-11-22,0.102703175399,-0.0464265173863,0.149129692786,10,mean,5,10,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,5,10,0.03,0.5,0.5
2016-11-22,0.102703175399,-0.0464265173863,0.149129692786,10,mean,5,30,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,5,30,0.03,0.5,0.5
2016-11-22,0.102703175399,-0.0464265173863,0.149129692786,10,mean,5,100,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,5,100,0.03,0.5,0.5
2016-11-22,0.102703175399,-0.0464265173863,0.149129692786,10,mean,5,200,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,5,200,0.03,0.5,0.5
2016-11-22,0.106546341354,-0.0464265173863,0.152972858741,10,mean,10,10,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,10,10,0.03,0.5,0.5
2016-11-22,0.106546341354,-0.0464265173863,0.152972858741,10,mean,10,30,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,10,30,0.03,0.5,0.5
2016-11-22,0.106546341354,-0.0464265173863,0.152972858741,10,mean,10,100,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,10,100,0.03,0.5,0.5
2016-11-22,0.106546341354,-0.0464265173863,0.152972858741,10,mean,10,200,0.01,0.5,0.5
2016-11-22,0.0594805746433,-0.142691178018,0.202171752661,10,mean,10,200,0.03,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,10,0.01,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,10,0.03,0.5,0.5
2016-11-22,-0.0827838243293,-0.0772631682397,-0.00552065608963,10,zscore,5,10,0.8,0.5,0.5
2016-11-22,-0.107490810364,-0.125776266091,0.0182854557266,10,zscore,5,10,1.0,0.5,0.5
2016-11-22,-0.103872363583,-0.125776266091,0.0219039025085,10,zscore,5,10,1.2,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,30,0.01,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,30,0.03,0.5,0.5
2016-11-22,-0.0827838243293,-0.0772631682397,-0.00552065608963,10,zscore,5,30,0.8,0.5,0.5
2016-11-22,-0.107490810364,-0.125776266091,0.0182854557266,10,zscore,5,30,1.0,0.5,0.5
2016-11-22,-0.103872363583,-0.125776266091,0.0219039025085,10,zscore,5,30,1.2,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,100,0.01,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,100,0.03,0.5,0.5
2016-11-22,-0.0827838243293,-0.0772631682397,-0.00552065608963,10,zscore,5,100,0.8,0.5,0.5
2016-11-22,-0.107490810364,-0.125776266091,0.0182854557266,10,zscore,5,100,1.0,0.5,0.5
2016-11-22,-0.103872363583,-0.125776266091,0.0219039025085,10,zscore,5,100,1.2,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,200,0.01,0.5,0.5
2016-11-22,-0.0622863409802,-0.0464265173863,-0.0158598235939,10,zscore,5,200,0.03,0.5,0.5
2016-11-22,-0.0827838243293,-0.0772631682397,-0.00552065608963,10,zscore,5,200,0.8,0.5,0.5
2016-11-22,-0.107490810364,-0.125776266091,0.0182854557266,10,zscore,5,200,1.0,0.5,0.5
2016-11-22,-0.103872363583,-0.125776266091,0.0219039025085,10,zscore,5,200,1.2,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,10,0.01,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,10,0.03,0.5,0.5
2016-11-22,-0.0824157038625,-0.0772631682397,-0.00515253562279,10,zscore,10,10,0.8,0.5,0.5
2016-11-22,-0.109356251396,-0.125776266091,0.0164200146954,10,zscore,10,10,1.0,0.5,0.5
2016-11-22,-0.106122077052,-0.125776266091,0.0196541890389,10,zscore,10,10,1.2,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,30,0.01,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,30,0.03,0.5,0.5
2016-11-22,-0.0824157038625,-0.0772631682397,-0.00515253562279,10,zscore,10,30,0.8,0.5,0.5
2016-11-22,-0.109356251396,-0.125776266091,0.0164200146954,10,zscore,10,30,1.0,0.5,0.5
2016-11-22,-0.106122077052,-0.125776266091,0.0196541890389,10,zscore,10,30,1.2,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,100,0.01,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,100,0.03,0.5,0.5
2016-11-22,-0.0824157038625,-0.0772631682397,-0.00515253562279,10,zscore,10,100,0.8,0.5,0.5
2016-11-22,-0.109356251396,-0.125776266091,0.0164200146954,10,zscore,10,100,1.0,0.5,0.5
2016-11-22,-0.106122077052,-0.125776266091,0.0196541890389,10,zscore,10,100,1.2,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,200,0.01,0.5,0.5
2016-11-22,-0.0623186655829,-0.0464265173863,-0.0158921481967,10,zscore,10,200,0.03,0.5,0.5
2016-11-22,-0.0824157038625,-0.0772631682397,-0.00515253562279,10,zscore,10,200,0.8,0.5,0.5
